EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4524667882244,102.99,B07F2ZLSB2,"#647.459, (Sport & Freizeit)",-23.08 ,"-23,31 %"
'4524667882220,101.99,B07F2XCR6F,"#108.029, (Sport & Freizeit)",-18.06 ,"-17,22 %"
'4524667945765,129.99,B07F349ZN6,"#56.642, (Sport & Freizeit)",-30.63 ,"-25,54 %"
'4550170443078,204.99,B07Y3BNWXZ,"#844.228, (Sport & Freizeit)",-25.88 ,"-11,82 %"
'8030282499393,32.99,B07L41QH6Y,"#767.818, (Sport & Freizeit)",-9.15 ,"-27,75 %"
'641300160676,38.99,B01DTD54VO,"#331.588, (Spielzeug)",-4.92 ,"-10,75 %"
'641300160805,124.99,B01J0BQ9XG,"#234.671, (Sport & Freizeit)",-32.20 ,"-28,66 %"
'641300162472,124.99,B07GZ7M6GX,"#111.633, (Sport & Freizeit)",-31.77 ,"-28,12 %"
'641300167491,134.99,B0B4FFH495,-,-6.46 ,"-3,99 %"
'821973396309,102.99,B09KP1H2M5,"#709.174, (Sport & Freizeit)",-17.67 ,"-16,79 %"
'8052783489857,92.99,B09L8PX32W,"#768.337, (Sport & Freizeit)",-85.20 ,"-8.520,09 %"
'4260477073211,118.99,B08H5SYTGL,"#33.761, (Sport & Freizeit)",-3.22 ,"-2,16 %"
'4260477073198,103.99,B08H5STBJZ,"#33.761, (Sport & Freizeit)",-92.37 ,"-9.236,50 %"
'4260477073570,29.99,B0BDPLPW47,"#563.104, (Sport & Freizeit)",-0.51 ,"-1,23 %"
'4260477073235,148.99,B08H5TQ29X,"#434.389, (Sport & Freizeit)",-18.06 ,"-11,02 %"
'4028017544436,39.99,B099KMLMKG,"#178.144, (Elektronik & Foto)",-2.82 ,"-5,57 %"
'4524667949213,46.99,B00DT01HBO,"#246.979, (Sport & Freizeit)",-9.04 ,"-17,75 %"
'4003318397035,89.99,B00N9E51AI,"#30.967, (Sport & Freizeit)",-25.85 ,"-32,33 %"
'4003318485664,42.99,B07H8Q2258,"#207, (Sport & Freizeit)",-15.49 ,"-44,40 %"
'886798029139,97.99,B08R6Q4HBW,"#175.517, (Sport & Freizeit)",-8.22 ,"-6,93 %"
